Source File	Size	loadResources	load	generateSnapshots	load-configure	scan	loadDepInfo	loadInfo	checkR4R4B	generateNarratives	validate	loadLists	checkConformanceResources	checkConformanceResources2	checkConformanceResources3	generateLogicalMaps	validateExpressions	scanForUsageStats	checkURLsUnique	processProvenanceDetails	generate1	generate2	responsesForQuestionnaire	generateLogicals	makeDependencies	generateExampleZip	generateValidationPack	scanProfilesForR5	scanExamplesForR5
/fsh-generated/resources/ImplementationGuide-ee.fhir.qre.json	4218	-	0	0	0	0	0	0	6	60	0	0	0	0	0	0	0	0	0	0	50	45	0	0	0	0	1	0	0
fsh-generated/resources/CodeSystem-sagedus-ajas.json	1072	4	0	0	1	0	0	0	0	8	0	0	1	0	0	0	0	0	0	0	10	79	0	0	0	0	0	0	0
fsh-generated/resources/Questionnaire-Questionnaire-PET.json	17443	13	0	0	0	0	0	0	5	3412	0	0	0	0	0	0	0	1	0	0	132	81	0	0	0	0	2	0	1
fsh-generated/resources/Questionnaire-Questionnaire-health-declaration-cda.json	136466	58	0	0	0	0	0	0	20	13895	0	0	0	0	0	0	0	2	0	0	881	52593	0	0	1	0	22	0	8
fsh-generated/resources/Questionnaire-Questionnaire-health-declaration-upload.json	225888	77	0	0	0	0	0	0	23	9883	0	0	0	0	0	0	0	2	0	0	1586	11240	0	0	0	0	37	0	8
fsh-generated/resources/Questionnaire-Questionnaire-health-declaration-with-text.json	269608	82	0	0	0	0	0	0	21	2776	0	0	0	0	0	0	0	2	0	0	1454	8224	0	0	0	0	42	0	7
fsh-generated/resources/StructureDefinition-ee-health-declaration-questionnaire.json	5637	7	0	61	0	0	0	0	0	43	0	0	0	0	0	0	0	1	0	0	265	1177	0	0	0	0	9	0	3
fsh-generated/resources/StructureDefinition-pet-questionnaire.json	5352	6	0	45	0	0	0	0	0	31	0	0	1	0	0	0	0	2	0	0	237	282	0	0	0	0	8	1	1
fsh-generated/resources/ValueSet-sagedus-ajas.json	427	1	0	0	0	0	0	0	0	49	0	0	0	0	0	0	0	0	0	0	5	56	0	0	1	0	0	0	0
/fsh-generated/includes/fsh-link-references.md	607	-	-	-	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
/fsh-generated/includes/menu.xml	1298	-	-	-	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
/input/pagecontent/index.md	817	-	-	-	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
/input/pagecontent/download.md	170	-	-	-	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
/template/config	0	-	-	-	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0
/template/config/_config.yml	140	-	-	-	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
/temp/pages/_includes/artifacts.xml	5790	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	0	0	0	0	0	0	0	0
